1994,1,1292.52,790.16,1201.28
1995,1,1267.06,765.86,1223.84
1996,1,1218.36,706.08,1197.09
1997,1,1263.17,718.53,1196.03
1998,1,1314.24,955.22,1285.05
1999,1,1365.79,1083.74,1342.32
2000,1,1366.33,1129.22,1362.95
2001,1,1379.51,1231.09,1422.78
2002,1,1430.97,1293.34,1483.77
2003,1,1456.67,1392.23,1523.11
2004,1,1466.58,1397.65,1515.66
2004,2,1415.28,1441.28,1522.19
2004,3,1411.07,1430.44,1518.66
2004,4,1417.19,1448.85,1528.05
2004,5,1423.87,1438.87,1516.34
2004,6,1422.66,1443.38,1516.17
2004,7,1447.42,1468.45,1523.70
2004,8,1418.51,1490.08,1547.05
2004,9,1415.81,1518.98,1553.96
2004,10,1416.40,1500.41,1534.18
2004,11,1373.03,1486.68,1526.43
2004,12,1471.06,1488.14,1528.42
2005,1,1442.21,1484.74,1558.08
2005,2,1402.01,1471.61,1549.71
2005,3,1388.82,1516.41,1567.72
2005,4,1399.79,1651.91,1615.63
2005,5,1413.14,1641.82,1603.09
2005,6,1436.31,1652.21,1652.43
2005,7,1449.74,1643.42,1641.27
2005,8,1413.91,1635.99,1639.18
2005,9,1428.86,1634.90,1629.67
2005,10,1404.51,1618.13,1628.67
2005,11,1404.97,1618.30,1633.31
2005,12,1527.11,1622.09,1629.78
2006,1,1483.88,1697.39,1674.83
2006,2,1444.73,1700.50,1662.25
2006,3,1470.21,1753.10,1693.21
2006,4,1471.68,1735.21,1679.41
2006,5,1426.78,1719.79,1664.48
2006,6,1422.70,1724.56,1664.71
2006,7,1473.60,1725.87,1668.14
2006,8,1457.16,1825.79,1673.16
2006,9,1460.16,1838.11,1682.61
2006,10,1437.16,1838.65,1675.84
2006,11,1432.75,1839.31,1669.36
2006,12,1500.74,1810.27,1647.64
2007,1,1459.12,1744.74,1657.86
2007,2,1409.54,1748.65,1638.44
2007,3,1443.71,1734.58,1632.86
2007,4,1429.96,1742.94,1621.41
2007,5,1408.12,1802.02,1664.52
2007,6,1440.75,1449.98,1508.85
2007,7,1477.54,1473.71,1518.56
2007,8,1438.46,1476.50,1518.60
2007,9,1437.24,1461.13,1504.00
2007,10,1392.20,1431.87,1483.06
2007,11,1323.08,1356.21,1422.24
2007,12,1447.30,1339.67,1417.74
2008,1,1362.05,1321.30,1401.59
2008,2,1340.50,1301.20,1372.78
2008,3,1394.76,1433.08,1432.38
2008,4,1364.23,1415.48,1420.59
2008,5,1345.40,1377.56,1399.71
2008,6,1316.39,1356.99,1378.13
2008,7,1331.09,1342.32,1362.92
2008,8,1366.45,1335.07,1368.90
2008,9,1347.13,1340.80,1380.07
2008,10,1374.40,1336.37,1381.56
2008,11,1415.98,1334.12,1386.45
2008,12,1462.67,1338.48,1398.78
2009,1,1182.33,1337.14,1424.13
2009,2,1433.50,1331.67,1432.37
2009,3,1425.61,1340.02,1449.53
2009,4,1481.65,1466.71,1471.55
