1950-1955,7.33,0
1955-1960,7.33,0
1960-1965,7.33,0
1965-1970,7.1,0
1970-1975,6.79,0
1975-1980,6.4,0
1980-1985,6,0
1985-1990,5.2,0
1990-1995,4.6,36.05
1995-2000,3.9,32.45
2000-2005,3.3,29.09
2005-2010,2.99,27.24
2010-2015,0,22.56
