1995,55,1103318,533350,569968,1013540,486902,526638,89778,46448,43330
1995,60,245325,121769,123556,144268,70341,73927,101057,51428,49629
1995,70,157035,77799,79236,100651,48572,52079,56384,29227,27157
1995,75,150580,75011,75569,89054,43310,45744,61526,31701,29825
1995,80,141546,71369,70177,50225,24267,25958,91321,47102,44219
1995,5,150040,75704,74336,69929,33938,35991,80111,41766,38345
1995,20,109782,55929,53853,28920,13821,15099,80862,42108,38754
1995,25,176283,86963,89320,97323,45778,51545,78960,41185,37775
1995,10,265522,134975,130547,52110,24443,27667,213412,110532,102880
1995,40,396961,199727,197234,131377,62310,69067,265584,137417,128167
1995,50,140491,70281,70210,41654,19190,22464,98837,51091,47746
1995,65,147900,73198,74702,75804,35489,40315,72096,37709,34387
1995,85,73166,38276,34890,16094,7939,8155,57072,30337,26735
1995,91,200497,100950,99547,55081,26869,28212,145416,74081,71335
1995,93,275532,139791,135741,108151,53109,55042,167381,86682,80699
1996,30,363151,181622,181529,216738,105976,110762,146413,75646,70767
1996,35,346008,171443,174565,195795,93926,101869,150213,77517,72696
1996,55,1133547,548287,585260,1029456,495551,533905,104091,52736,51355
1996,60,253593,125944,127649,147855,72210,75645,105738,53734,52004
1996,70,161288,79985,81303,102495,49580,52915,58793,30405,28388
1996,75,153886,76711,77175,90287,44030,46257,63599,32681,30918
1996,80,144727,73029,71698,51706,25027,26679,93021,48002,45019
1996,5,154371,77840,76531,71615,34827,36788,82756,43013,39743
1996,20,111798,56990,54808,29512,14141,15371,82286,42849,39437
1996,25,180257,88947,91310,99288,46800,52488,80969,42147,38822
1996,10,274804,139640,135164,55149,25882,29267,219655,113758,105897
1996,40,407089,204790,202299,137771,65433,72338,269318,139357,129961
1996,50,143833,71956,71877,43400,20001,23399,100433,51955,48478
1996,65,151706,75076,76630,78286,36724,41562,73420,38352,35068
1996,85,75818,39638,36180,16691,8203,8488,59127,31435,27692
1996,91,208461,105028,103433,57315,27994,29321,151146,77034,74112
1996,93,284418,144215,140203,111732,55012,56720,172686,89203,83483
1997,30,373269,186629,186640,224039,109710,114329,149230,76919,72311
1997,35,352737,174867,177870,200856,96488,104368,151881,78379,73502
1997,55,1164573,563628,600945,1057552,509826,547726,107021,53802,53219
1997,60,262133,130259,131874,153244,74926,78318,108889,55333,53556
1997,70,165652,82230,83422,105549,51152,54397,60103,31078,29025
1997,75,157260,78447,78813,92568,45242,47326,64692,33205,31487
1997,80,147976,74726,73250,53792,26069,27723,94184,48657,45527
1997,5,158823,80034,78789,74156,36117,38039,84667,43917,40750
1997,20,113849,58069,55780,30440,14615,15825,83409,43454,39955
1997,25,184316,90974,93342,102407,48346,54061,81909,42628,39281
1997,10,284405,144464,139941,58950,27666,31284,225455,116798,108657
1997,40,417465,209977,207488,145923,69364,76559,271542,140613,130929
1997,50,147250,73670,73580,45679,21047,24632,101571,52623,48948
1997,65,155606,77001,78605,81705,38383,43322,73901,38618,35283
